st_x,st_y,gid,nombre,distrito,uv,mz,barrio,direccion,estado,categoria,nombre_sept,nivel,point_x,point_y,geom,dependencia,estado_cuarentena,estado_c
483172.5444,8036489.0802,18,Mercado David Trapero,2,39,, , ,Mercado Municipal,Vecinal,MERCADO DAVID TRAPERO,MINORISTA,-63.1587410396,-17.7588304474,01010000009031772D927D1D412EFF214522A85E41,GAMSCS,f,0
485474.302,8032902.9989,30,Mercado San Juan,7,82,, ,Av. Cumavi y C/6,Mercado Usufructo,Vecinal,MERCADO SAN JUAN,MINORISTA,-63.1370522659,-17.7912607777,0101000000F07C3F3589A11D4144FAEDBFA1A45E41,Usufructo,f,0
479288.9059,8025594.2343,2,Mercado Las Américas,9,131,,B. Urb. Paraiso, ,Mercado Municipal,Vecinal,MERCADO LAS AMERICAS,MINORISTA,-63.1954842665,-17.8572733106,0101000000E03FA49FE3401D416DC5FE8E7E9D5E41,GAMSCS,f,0
506376.348,8022880.131,44,Mercado Paurito,14, ,, , ,Mervado Municipal,Distrital,MERCADO PAURITO,MINORISTA,-62.9398076631,-17.8818940744,0101000000B01C5A6421E81E41D34D6208D89A5E41,GAMSCS,f,0
519425.8809,8049683.7984,11,Mercado Montero Hoyos,15, ,, , ,Mercado Municipal,Distrital,MERCADO MONTERO HOYOS,MINORISTA,-62.8168678710,-17.6395437050,010100000050A60A8607B41F4150FC18F304B55E41,GAMSCS,f,0
479839.9477,8032568.556,59,"Mercado ""La Ramada"" C/ámboro y muchiri",11,10,24,, ,,vecinal,"Mercado ""La Ramada"" C/ámboro y muchiri",MINORISTA,-63.1902163095,-17.7942392929,010100000070DE71CA7F491D41068195234EA45E41,GAMSCS,f,0
482957.8167,8024942.255,56,Mercado Fortaleza,12,178,,,Santa Cruz de la Sierra,,vecinal,Mercado Fortaleza,MINORISTA,-63.1608602001,-17.8631980003,010100000040014D44377A1D4185EB5190DB9C5E41,GAMSCS,t,1
477253.8961,8027954.2776,46,Mercado La Ramada Minorista,10,EQ,, , ,Mervado Municipal,Distrital,MERCADO LA RAMADA MINORISTA,MINORISTA,-63.2146662906,-17.8359213541,0101000000003D9B9517211D41CA32C491CC9F5E41,GAMSCS,t,1
482788.4479,8036072.5248,19,Mercado Mutualista Abasto II,2,ET3,, , ,Mercado Municipal,Distrital,MERCADO MUTUALISTA  ABASTO II,MINORISTA,-63.1623677829,-17.7625926514,0101000000304CA6CA91771D41BD529621BAA75E41,GAMSCS,t,1
484380.042346423,8029518.48546007,43,Mercado Modelo Plan 3000,8,ET53,1, , , ,Vecinal,MERCADO MODELO PLAN 3000,MINORISTA,-63.1474018782,-17.8218451795,010100000052DC5C2B70901D411AC7119F53A15E41,GAMSCS,t,1
478347.6073,8032319.8812,23,Mercado Abasto Campesino,4,ET14,, ,3er anillo ext. Av. Pirai,Mercado Municipal,Mayorista,MERCADO ABASTO MINORISTA,MINORISTA,-63.2042994949,-17.7964728158,0101000000200DE06D2E321D41AF9465F80FA45E41,GAMSCS,t,1
475518.2317,8026380.3753,45,Mercado Abasto Mayorista,10,ET81,1, , ,Mervado Municipal,Distrital,MERCADO ABASTO MAYORISTA,MAYORISTA,-63.2310648790,-17.8501287129,0101000000D0C342EDF8051D414BEA0418439E5E41,GAMSCS,t,1
484285.8541,8040184.0266,47,Mercado Los Pozos Minorista,5,78,, , ,Mervado Municipal,Distrital,MERCADO LOS POZOS MINORISTA,MINORISTA,-63.1482112334,-17.7254406106,0101000000C030996AF78E1D417DD0B301BEAB5E41,GAMSCS,t,1
483049.5507,8033786.6108,16,Mercado San Jose Obrero,2,21,,B. Lazareto,C/Fernando Paticu y Pailon,Mercado Municipal,Vecinal,MERCADO SAN JOSÉ OBRERO LAZARETO,MINORISTA,-63.1599230100,-17.7832566295,010100000060B3EA33A67B1D41E25817A77EA55E41,GAMSCS,t,1
480087.7255,8033947.4218,10,Mercado Florida,11,CI,328A,C/Florida y Buenos Aires,C/Florida y Buenos Aires,Mercado Muinicpal,Vecinal,MERCADO FLORIDA,MINORISTA,-63.1878654270,-17.7817782764,0101000000D078E9E65E4D1D416DC5FEDAA6A55E41,GAMSCS,t,1
