id,nombre_lugar,id_distrito,fecha,geom,point_x,point_y,uv,nombre
213,MERCADO MOVILES,5,2020-04-21,0101000000600BFFA908851D418A9AC01A76AA5E41,-63.1542169829,-17.7372914344,71,Distrito Urbano 5
214,MERCADO MOVILES,16,2020-04-21,0101000000903E32DDE5991D415F13AA4985AA5E41,-63.1416215945,-17.7367519705,79,Distrito Industrial
215,MERCADO MOVILES,16,2020-04-21,0101000000007C3C346A931D41F9AC432BE5A95E41,-63.1455398639,-17.7425382659,71,Distrito Industrial
216,MERCADO MOVILES,5,2020-04-21,0101000000D01D826A26961D410E5B8B64BCAA5E41,-63.1438824493,-17.7347579803,75,Distrito Urbano 5
217,MERCADO MOVILES,5,2020-04-21,0101000000801180BF528F1D41FF2DD9DE0EAA5E41,-63.1480086785,-17.7410286839,71,Distrito Urbano 5
218,MERCADO MOVILES,6,2020-04-21,0101000000E021D8F8BDC71D41613E3190E3A95E41,-63.1139507130,-17.7426172116,144,Distrito Urbano 6
219,MERCADO MOVILES,6,2020-04-21,0101000000505DB7C8AEAE1D4132610CEAE0A85E41,-63.1290853803,-17.7519594012,151,Distrito Urbano 6
220,MERCADO MOVILES,6,2020-04-21,010100000010A9EED173B11D41A7F42486D1A75E41,-63.1274202272,-17.7617727096,ET32,Distrito Urbano 6
221,MERCADO MOVILES,6,2020-04-21,01010000009013AB46E7BC1D4153117FB213A85E41,-63.1205050818,-17.7593845637,141B,Distrito Urbano 6
222,MERCADO MOVILES,5,2020-04-21,01010000002082BDC919781D41CE252D72BBAC5E41,-63.1620053939,-17.7162664950,ET-93,Distrito Urbano 5
223,MERCADO MOVILES,9,2020-04-21,0101000000A017015529391D419F48084480A05E41,-63.2001212332,-17.8294398773,108,Distrito Urbano 9
224,MERCADO MOVILES,5,2020-04-21,0101000000007C3CB4657B1D4120DE4B0F7AAD5E41,-63.1600094990,-17.7093763941,ET100,Distrito Urbano 5
225,MERCADO MOVILES,5,2020-04-21,0101000000B06F3A89E07B1D4172966ABC11AE5E41,-63.1597150457,-17.7038926985,ET101,Distrito Urbano 5
226,MERCADO MOVILES,5,2020-04-21,0101000000202CAF9CAEA41D41613E31C0AAAE5E41,-63.1350828229,-17.6983788312,ET114,Distrito Urbano 5
227,MERCADO MOVILES,5,2020-04-21,01010000008011803FEB911D412E0BFEDCE3AF5E41,-63.1463979105,-17.6870499623,P.U.,Distrito Urbano 5
228,MERCADO MOVILES,5,2020-04-21,0101000000C0C548B60F821D41D8FCD06AF2AA5E41,-63.1560074749,-17.7327954383,74,Distrito Urbano 5
229,MERCADO MOVILES,5,2020-04-21,010100000070E4CD211B751D41E2D374C314AB5E41,-63.1638268952,-17.7315472647,73,Distrito Urbano 5
230,MERCADO MOVILES,5,2020-04-21,0101000000B06D0F02C6811D41B521D703B9AC5E41,-63.1561670381,-17.7163591168,193,Distrito Urbano 5
231,MERCADO MOVILES,5,2020-04-21,010100000060E07713E87C1D41553C0671EBAE5E41,-63.1590867811,-17.6960219449,ET103,Distrito Urbano 5
232,MERCADO MOVILES,6,2020-04-21,010100000000FDD1F797CD1D41BA77E5082AA95E41,-63.1104223268,-17.7493270946,144A,Distrito Urbano 6
233,MERCADO MOVILES,6,2020-04-21,01010000008090EA7BB1E81D41CE252D82E3A85E41,-63.0940633453,-17.7518855299,200,Distrito Urbano 6
234,MERCADO MOVILES,6,2020-04-21,0101000000806563E56CEF1D4107DAF5E815A95E41,-63.0899981601,-17.7500651489,201,Distrito Urbano 6
235,MERCADO MOVILES,6,2020-04-21,01010000007038B14703E11D4105AF6E72B7A85E41,-63.0987010620,-17.7534763132,200,Distrito Urbano 6
236,MERCADO MOVILES,6,2020-04-21,01010000004007A99B28C91D416469B83E73A75E41,-63.1131097431,-17.7651901824,152,Distrito Urbano 6
237,MERCADO MOVILES,6,2020-04-21,0101000000302EDAA31BD21D41418EBECF63A75E41,-63.1077068040,-17.7657512301,ET57,Distrito Urbano 6
238,MERCADO MOVILES,7,2020-04-21,0101000000C0F0CF4C63D21D41FF2DD9EE32A65E41,-63.1075443882,-17.7767743096,ET50,Distrito Urbano 7
239,MERCADO MOVILES,6,2020-04-21,0101000000B06D0F829AEF1D41553C06A9FEA75E41,-63.0898956370,-17.7601615907,199A,Distrito Urbano 6
240,MERCADO MOVILES,6,2020-04-21,010100000030DD2486B4FA1D4189D2DE8024AC5E41,-63.0831753570,-17.7217731009,319,Distrito Urbano 6
241,MERCADO MOVILES,6,2020-04-21,010100000000D01FDACADF1D414D90E9EE1DA85E41,-63.0994409245,-17.7590262931,199,Distrito Urbano 6
242,MERCADO MOVILES,7,2020-04-21,0101000000B042886B61F01D41C0F87A3C9FA45E41,-63.0894420540,-17.7913791986,276,Distrito Urbano 7
243,MERCADO MOVILES,7,2020-04-21,010100000020AB1959ADF51D41EDAA18ECD6A35E41,-63.0862471821,-17.7986230423,276,Distrito Urbano 7
244,MERCADO MOVILES,7,2020-04-21,0101000000153AF5C848EE1D41022F1E427AA55E41,-63.0907038659,-17.7834598088,275,Distrito Urbano 7
245,MERCADO MOVILES,6,2020-04-21,010100000090BD9C994EE71D4100BE27CF49A75E41,-63.0949080689,-17.7666979692,261,Distrito Urbano 6
246,MERCADO MOVILES,7,2020-04-21,0101000000A06BE4FAE9C01D41470F541B7BA45E41,-63.1181055966,-17.7926702738,ET35,Distrito Urbano 7
247,MERCADO MOVILES,7,2020-04-21,010100000060E07793E1D01D412209D38D73A45E41,-63.1084639179,-17.7929489261,,Distrito Urbano 7
248,MERCADO MOVILES,7,2020-04-21,0101000000305961BA3DC01D41265FE1B2F7A35E41,-63.1185150406,-17.7974211162,89,Distrito Urbano 7
249,B. LAS CARMELITAS  UE SARAH PORRAS,1,2020-04-21,01010000004260E510F9121D41295C8FC21DA45E41,-63.2231445315,-17.7959536662,112,Distrito Urbano 1
250,ROTONDA 2DO ANILLO AV. GUAPAY O CANAL COTOCA,11,2020-04-21,01010000007D3F35DE0C731D41D578E96E07A65E41,-63.1651107049,-17.7783069891,3,Distrito Urbano 11
251,ROTONDA 2DO ANILLO PARAGUA,11,2020-04-21,0101000000A1F831A6AE711D41295C8F5A75A65E41,-63.1659330673,-17.7743320895,3,Distrito Urbano 11
252,ROTONDA 2DO ANILLO MUTUALISTA,11,2020-04-21,010100000007F016C8236E1D4160E5D05AC1A65E41,-63.1680694003,-17.7715824314,2,Distrito Urbano 11
253,ROTONDA 2DO ANILLO AV. ALEMANA,11,2020-04-21,0101000000E5D0225BE6681D41AC1C5A64E5A65E41,-63.1712319428,-17.7702767562,2,Distrito Urbano 11
254,MERCADO MOVILES,4,2020-04-21,010100000090EA4EB7F83D1D41303685C3FDA25E41,-63.1971907117,-17.8063940790,ET13,Distrito Urbano 4
255,MERCADO MOVILES,4,2020-04-21,01010000003059613A923A1D41D8FCD05242A35E41,-63.1992414205,-17.8039132160,ET14,Distrito Urbano 4
256,MERCADO MOVILES,1,2020-04-21,0101000000600BFF2927311D41DC52DF17C2A45E41,-63.2049131494,-17.7900321146,ET16,Distrito Urbano 1
257,MERCADO MOVILES,1,2020-04-21,0101000000F0A498C39D311D41C8A4971644A55E41,-63.2046280478,-17.7853324231,ET16,Distrito Urbano 1
258,MERCADO MOVILES,1,2020-04-21,0101000000806563655F331D410159601D1BA65E41,-63.2035586969,-17.7775592155,ET18,Distrito Urbano 1
259,MERCADO MOVILES,1,2020-04-21,01010000009094408A81361D41E2D37453F8A65E41,-63.2016577937,-17.7695632415,ET19,Distrito Urbano 1
260,MERCADO MOVILES,7,2020-04-21,0101000000007C3C3461D01D41E0A8ED7CE9A35E41,-63.1087697462,-17.7979405691,90,Distrito Urbano 7
261,MERCADO MOVILES,7,2020-04-21,010100000090BD9C9987C21D41A1738F6A6EA35E41,-63.1171362844,-17.8023854280,ET39,Distrito Urbano 7
262,MERCADO MOVILES,7,2020-04-21,010100000020D6A06FE1CF1D41B1CBC80664A35E41,-63.1090740663,-17.8027657331,96,Distrito Urbano 7
263,MERCADO MOVILES,7,2020-04-21,01010000004007A91BDFE11D41F781BCF473A35E41,-63.0982092529,-17.8021955541,234,Distrito Urbano 7
264,MERCADO MOVILES,8,2020-04-21,01010000002082BDC995B51D41BA77E58058A15E41,-63.1249667873,-17.8216842975,147,Distrito Urbano 8
265,MERCADO MOVILES,8,2020-04-21,010100000020D6A0EFBECE1D41EB7F91FD32A25E41,-63.1097660835,-17.8137939884,102,Distrito Urbano 8
266,MERCADO MOVILES,8,2020-04-21,0101000000B09896987DE41D41CE252DE2B4A05E41,-63.0966413110,-17.8276160643,235,Distrito Urbano 8
267,MERCADO MOVILES,8,2020-04-21,0101000000B06D0F0280BD1D414FBB7075839F5E41,-63.1201979304,-17.8386456597,164,Distrito Urbano 8
268,MERCADO MOVILES,5,2020-04-21,0101000000C0F5289C5F751D41EC51B87621AF5E41,-63.1636314393,-17.6940650109,343,Distrito Urbano 5
269,MERCADO MOVILES,5,2020-04-21,01010000008090EA7B3C5B1D41A7F4242E01AC5E41,-63.1794345822,-17.7229858714,333A,Distrito Urbano 5
270,MERCADO MOVILES,5,2020-04-21,010100000050840D4F1A591D41736891754DAB5E41,-63.1807289124,-17.7294825738,ET51,Distrito Urbano 5
271,MERCADO MOVILES,6,2020-04-21,0101000000A0170155B6CB1D41EFD59FEA83AA5E41,-63.1115503954,-17.7368209444,196,Distrito Urbano 6
272,MERCADO MOVILES,12,2020-04-21,0101000000E075BB1ED5661D413D38B0120C9F5E41,-63.1725499790,-17.8429228141,175,Distrito Urbano 12
273,MERCADO MOVILES,12,2020-04-21,0101000000803C07D63D461D411C883D8AC79B5E41,-63.1922681126,-17.8731491761,184A,Distrito Urbano 12
274,MERCADO MOVILES,12,2020-04-21,0101000000202CAF9C66911D414FBB70F5DC9D5E41,-63.1468467505,-17.8539029407,169,Distrito Urbano 12
275,MERCADO MOVILES,10,2020-04-21,01010000004030052BC4191D410384E793279E5E41,-63.2191096990,-17.8511373409,135,Distrito Urbano 10
276,MERCADO MOVILES,10,2020-04-21,0101000000700D2A316E221D41A1738FA2A19D5E41,-63.2138819203,-17.8559858262,135,Distrito Urbano 10
277,MERCADO MOVILES,5,2020-04-21,01010000001053E024C24F1D41F9AC435BF7AC5E41,-63.1863536565,-17.7140788163,336,Distrito Urbano 5
278,MERCADO MOVILES,5,2020-04-21,010100000060368640BB591D41A1738F4243B05E41,-63.1803035616,-17.6835726862,,Distrito Urbano 5
279,MERCADO MOVILES,5,2020-04-21,0101000000261B935472671D4142C37209F2AF5E41,-63.1720294405,-17.6865167628,346,Distrito Urbano 5
280,MERCADO MOVILES,9,2020-04-21,0101000000A015D64DD7351D41470F5413939C5E41,-63.2021677208,-17.8657803644,187,Distrito Urbano 9
281,MERCADO MOVILES,12,2020-04-21,0101000000A015D64DAA751D4136B71AD7C99D5E41,-63.1636013184,-17.8545808425,177,Distrito Urbano 12
