Departamento,Alcance,Descripcion del alcance,Latitud,Longitud,Dirección,Tipo de proveedor,Nombre ,Tipo de servicios o productos,Servicios o productos,Dias y horarios de atención,Telefonos,A domicilio,Verificado
La Paz,Distrital,Distrito 11 - Periférica,-16.458834,-68.147223,Plan Autopista,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 12 - Periférica,-16.470522,-68.129277,Santiago de Lacaya,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 13 - Periférica,-16.468492,-68.123724,"Rosasani, parque",Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 3 - Cotahuma,-16.520143,-68.125400,Av. Francisco Bedregal rotonda Emaverde,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 4 - Cotahuma,-16.526610,-68.126677,"Av. Mario Mercado, Llojeta",Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 5 - Cotahuma,-16.507097,-68.152337,"Av. 9 de abril, pasarela, final Villamil de Rada",Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 18 - Sur,-16.530104,-68.057658,Condores Lakota / Lomas del Sur / Huantaqui,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 18 - Sur,-16.545331,-68.045255,Chijipata,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 18 - Sur,-16.513816,-68.052997,Rosales de Achumani,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 14 - San Antonio,-16.480262,-68.113634,"Cancha zona 24 de junio ""A"", calle 24 de junio ",Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 16 - San Antonio,-16.485179,-68.093155,"Cosmos 85, parada Pumakatari, zona Villa Salome",Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 17 - San Antonio,-16.510534,-68.099247,Zona Kupini ,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 20 - Mallasa,-16.566760,-68.093453,"Av. Valle de la Luna, altura banderas",Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 20 - Mallasa,-16.591730,-68.073074,"Av. Tricentenario, calle 5 de la zona de Jupapina",Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 20 - Mallasa,-16.559257,-68.094054,Av. Hernan Siles - Mallasa,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 1 - Centro,-16.507011,-68.126557,Plaza Bolivia,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 2 - Centro,-16.504719,-68.117239,Calle Jaimes y Mariaca,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 2 - Centro,-16.496938,-68.124284,Plaza Uyuni,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 7 - Max Paredes,-16.500530,-68.153006,Zona Sagrado Corazon,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 9 - Max Paredes,-16.500101,-68.161168,"Zona Wakathaki, colegio Filadelfia",Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
La Paz,Distrital,Distrito 10 - Max Paredes,-16.488718,-68.143275,Ciudadela Caja Ferroviaria,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas","Miercoles, jueves, viernes. 7:00 a 12:00",null,Si,Si
