Departamento,Alcance,Descripcion del alcance,Latitud,Longitud,Dirección,Tipo de proveedor,Nombre ,Tipo de servicios o productos,Servicios o productos,Dias y horarios de atención,Telefonos,A domicilio,Verificado
Santa Cruz,Zonal,El Pari,NA,NA,Av. Grigotá Uv. 0029 Dist: 5 Mza 0043 Sec. 3,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106011 - 72072300,No,Si
Santa Cruz,Zonal,Puerto Quijarro,NA,NA,Av. Brasil s/n Zona Central,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106012 - 72072300,No,Si
Santa Cruz,Zonal,Mariscal Sucre,NA,NA,Av. Mariscal Sucre s/n Zona Central,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106013 - 72072300,No,Si
Cochabamba,Zonal,Cala Cala,NA,NA,Av. Simón López entre M. Pérez de Holguín G.R. Moreno No. 0 Zona/Barrio Cala Cala,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106014 - 72072300,No,Si
Cochabamba,Zonal,Valle Hermoso,NA,NA,Av. Petrolera km 5 1/2 Zona Valle Hermoso,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106015 - 72072300,No,Si
Cochabamba,Zonal,América,-17.371740,-66.173618,Av. América esq. Pachamama  No. s/n Barrio Cala Cala,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106016 - 72072300,No,Si
Cochabamba,Zonal,Villa Tunari,NA,NA,Carretera Cbba-Sta Cruz nro. s/n Zona Villa Tunari ,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106017 - 72072300,No,Si
Cochabamba,Zonal,Ivirgarzama,NA,NA,"Carretera Cochabamba - Santa Cruz km. 221 Zona/Barrio Central, PT, Villarroel",Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106018 - 72072300,No,Si
Tarija,Zonal,Las Américas,NA,NA,"Av. Panamericana, Zona Luis Pizarro",Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106019 - 72072300,No,Si
Tarija,Zonal,Presidente Arce,NA,NA,"Av. Panamericana, Zona Morros Blancos",Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106020 - 72072300,No,Si
Tarija,Zonal,San Martín,NA,NA,Av. San Martín esq. Jacinto Delfín,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106021 - 72072300,No,Si
Tarija,Zonal,Palos Blancos,NA,NA,Calle Avaroa esq. Chuquisaca,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106022 - 72072300,No,Si
