type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/codigoSIE,properties/ue1,properties/ue2,properties/ue3,properties/ue4,properties/ue5,properties/Nombre,properties/Direccion,properties/CodMacro,properties/CodDistrito,properties/Zona,properties/IdTipo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,educacionpublica.191,Point,-68.04505586,-16.53780377,geom,80730104,Chasquipampa turno mañana,Chasquipampa turno tarde,Chasquipampa B,Chasquipampa C,,CHASQUIPAMPA A TURNO MAaANA,C. 53 Chasquipampa,5,19,CHASQUIPAMPA,,19,,clara.revollo,2016-06-06T21:32:07.207Z,
Feature,educacionpublica.192,Point,-68.12075602,-16.50586374,geom,80730136,Felipe Segundo Guzmán,Max Valdivia,,,,FELIPE SEGUNDO GUZMAN,C. Victor Eduardo,1,2,Miraflores,,2,,clara.revollo,2016-06-11T22:36:34.987Z,
Feature,educacionpublica.193,Point,-68.1317884,-16.50151935,geom,80730118,José Martí,República de Argentina,,,,JOSL MARTI,C. Campero,1,1,CENTRAL,,1,,clara.revollo,2016-06-11T22:38:40.050Z,
Feature,educacionpublica.194,Point,-68.11903941,-16.49920507,geom,80730129,Hugo Dávila A,Hugo Dávila B,,,,HUGO DJVILA  A,C. José Carrasco,1,2,CENTRO,,2,,clara.revollo,2016-06-11T22:39:33.853Z,
Feature,educacionpublica.195,Point,-68.11170918,-16.51502795,geom,80730435,IV Centenario,IV Centenario B,,,,IV CENTENARIO,C. Rene Camacho Lara,2,17,IV Centenario,,17,,clara.revollo,2016-06-11T22:40:14.273Z,
Feature,educacionpublica.196,Point,-68.13568472,-16.50290329,geom,80730009,Puerto de Mejillones - CEA,Gran Bretania A,República de Cuba,,,CEA PUERTO DE MEJILLONES,C. Colombia,3,6,SAN PEDRO,5,6,,clara.revollo,2016-06-11T22:41:30.850Z,
Feature,educacionpublica.197,Point,-68.14159246,-16.5110566,geom,80730012,Quintina Perez - CEA,Ignacio Calderon Fe y Alegría I,Ignacio Calderon Fe y Alegría II,,,CEA QUINTINA PEREZ,C. Canonigo Ayllon,3,4,TEMBLADERANI,5,4,,clara.revollo,2016-06-11T22:43:04.207Z,
Feature,educacionpublica.198,Point,-68.12459986,-16.49465486,geom,80730135,Francisco Bedregal,Panamá,,,,FRANCISCO BEDREGAL,Av. San Salvador,1,2,MIRAFLORES,,2,,clara.revollo,2016-06-11T22:43:33.310Z,
Feature,educacionpublica.199,Point,-68.14188586,-16.49711923,geom,80730033,Alemania,Crispín Andrade Portugal,Faustino Sarmiento,,,ALEMANIA,C. Marcelo Quiroga,1,1,SAN SEBASTIÁN,,1,,clara.revollo,2016-06-11T22:45:11.510Z,
Feature,educacionpublica.200,Point,-68.10406161,-16.49158538,geom,80730510,Dora Smith A,Topater,,,,DORA SMITH A,C. W.,2,16,PAMPAHASI ALTO,,16,,clara.revollo,2016-06-11T22:46:11.133Z,
