type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Direccion,properties/Ruta
Feature,paradaspumakatari.419,Point,-68.11663418,-16.4724526,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.420,Point,-68.11649215,-16.47261131,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.421,Point,-68.11722853,-16.47472852,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.422,Point,-68.11818874,-16.47574385,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.423,Point,-68.11848213,-16.4775368,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.424,Point,-68.11867815,-16.47801741,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.425,Point,-68.11914924,-16.48080219,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.426,Point,-68.11919832,-16.48046205,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.427,Point,-68.12068101,-16.48173842,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.428,Point,-68.12023785,-16.48261488,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.429,Point,-68.12257464,-16.48367616,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.430,Point,-68.12099786,-16.48488859,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.431,Point,-68.11951756,-16.49166116,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.432,Point,-68.11867696,-16.49443829,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.713,Point,-68.05251508,-16.50733267,Shape,Campo Verde B Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.714,Point,-68.05131854,-16.50688278,Shape,Campo Verde A Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.715,Point,-68.05153113,-16.50894316,Shape,Huayllani Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.716,Point,-68.05159505,-16.50998238,Shape,Alto Achumani Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.717,Point,-68.05516655,-16.51130547,Shape,Calle 41 Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.718,Point,-68.05744468,-16.51273596,Shape,Calle 40 Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.719,Point,-68.05873014,-16.51363942,Shape,Calle 39 Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.720,Point,-68.06070043,-16.51534087,Shape,Calle 36 Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.721,Point,-68.06184728,-16.51708623,Shape,Complejo The Strongest Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.722,Point,-68.06255547,-16.51893274,Shape,Calle 31 Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.723,Point,-68.06383321,-16.52108132,Shape,Calle 29 Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.724,Point,-68.06681185,-16.52325496,Shape,San Ramon Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.725,Point,-68.06818596,-16.52590047,Shape,Hernan Greiner Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.726,Point,-68.07105324,-16.52879861,Shape,Calle 22 Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.727,Point,-68.07092506,-16.53113159,Shape,Plaza de la Amistad Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.728,Point,-68.07254434,-16.53220957,Shape,Mercado Achumani Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.729,Point,-68.073468,-16.53194501,Shape,Bicicross Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.730,Point,-68.07476884,-16.53339212,Shape,Calle 13 Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.731,Point,-68.07558919,-16.53561411,Shape,Plaza Jaime Escalante Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.732,Point,-68.07766004,-16.53938882,Shape,Iglesia de San Miguel Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.733,Point,-68.07984387,-16.53911813,Shape,Calle19 de Calacoto Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.734,Point,-68.08245757,-16.53864618,Shape,Calle 17 de Calacoto Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.735,Point,-68.08485825,-16.53932479,Shape,Calle 15 de Calacoto Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.736,Point,-68.08696415,-16.53987636,Shape,Calle 13 de Calacoto Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.737,Point,-68.09172544,-16.54120164,Shape,Calle 8 de Calacoto Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.738,Point,-68.09454738,-16.53944842,Shape,Pasarela ANAPOL Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.739,Point,-68.09554985,-16.53687826,Shape,Pasarela Campo Ferial Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.740,Point,-68.09782378,-16.53307202,Shape,Pasarela barrio del Periodista Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.741,Point,-68.10148925,-16.52977956,Shape,Calle 17 de Obrajes Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.742,Point,-68.10352782,-16.52866748,Shape,Calle 14 de Obrajes Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.743,Point,-68.10558028,-16.52751763,Shape,Plaza de la Loba,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.744,Point,-68.10805581,-16.5261921,Shape,Calle 8 de Obrajes Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.745,Point,-68.11099625,-16.52455954,Shape,Calle 4 de Obrajes Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.746,Point,-68.11281862,-16.52357299,Shape,Calle 2 de Obrajes Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.747,Point,-68.11452385,-16.51874343,Shape,Unandes Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.748,Point,-68.11469832,-16.51410804,Shape,Puente Independencia Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.749,Point,-68.12033175,-16.51364372,Shape,Clavijo Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.750,Point,-68.12153632,-16.51209956,Shape,Campos Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.751,Point,-68.12374012,-16.50964723,Shape,Plaza Isabel la CatÃ³lica Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.752,Point,-68.12676286,-16.50731574,Shape,Plaza Bolivia Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.753,Point,-68.1287146,-16.50598294,Shape,Graderias Aspiazu Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.754,Point,-68.13188129,-16.50394788,Shape,Cañada Strongest,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.755,Point,-68.13376726,-16.50334104,Shape,Otero de la Vega Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.756,Point,-68.13406336,-16.50193552,Shape,Nicolas Acosta Ida,ACHUMANI - SAN PEDRO
Feature,paradaspumakatari.757,Point,-68.0526724,-16.50737086,Shape,Campo Verde B Vuelta,SAN PEDRO - ACHUMANI
Feature,paradaspumakatari.758,Point,-68.05154102,-16.50761654,Shape,Campo Verde A Vuelta,SAN PEDRO - ACHUMANI
Feature,paradaspumakatari.759,Point,-68.05159301,-16.50882721,Shape,Huayllani Vuelta,SAN PEDRO - ACHUMANI
Feature,paradaspumakatari.760,Point,-68.05140698,-16.51002332,Shape,Alto Achumani Vuelta,SAN PEDRO - ACHUMANI
Feature,paradaspumakatari.761,Point,-68.05495283,-16.51132768,Shape,Calle 41 Vuelta,SAN PEDRO - ACHUMANI
Feature,paradaspumakatari.762,Point,-68.05720505,-16.51268176,Shape,Calle 40 Vuelta,SAN PEDRO - ACHUMANI
Feature,paradaspumakatari.763,Point,-68.05874455,-16.51380697,Shape,Calle 39 Vuelta,SAN PEDRO - ACHUMANI
