type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Administracion,properties/IdTipo,properties/Tipo,properties/Macrodistrito,properties/CodDistrito,properties/IdCategoria,properties/Categoria,properties/Zona,properties/Codigo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,camposdeportivos.299,Point,-68.07211043,-16.53271413,geom,Achumani Central,C. 15,JUNTA VECINAL,8,FUTBOL,SUR,18,3,C,ACHUMANI CENTRAL,400,18,,gustavo.nao,2018-09-12T19:57:44.520Z,
Feature,camposdeportivos.300,Point,-68.14696694,-16.44711883,geom,Las Nieves 2,Av. Pancarita,0,8,FUTBOL,SUR,11,3,C,LAS NIEVES,401,11,,gustavo.nao,2018-09-12T19:57:37.200Z,
Feature,camposdeportivos.301,Point,-68.13761512,-16.48334855,geom,Hoyada Norte Alto Calvario,Av. Periférica,0,8,FUTBOL,PERIFERICA,11,3,C,HOYADA NORTE ALTO CALVARIO,402,11,,gustavo.nao,2018-09-12T19:56:27.193Z,
Feature,camposdeportivos.302,Point,-68.15319469,-16.48350018,geom,Parque Ecológico Recreacional Deportivo Pura Pura,0,DIRECCION MUNICIPAL DE DEPORTES,8,FUTBOL,MAX PAREDES,10,2,B,PURA PURA,174,10,,nhuanquiri,2016-07-02T22:51:12.470Z,
Feature,camposdeportivos.304,Point,-68.15389368,-16.4838219,geom,Parque Ecológico Recreacional Deportivo Pura Pura,0,DIRECCION MUNICIPAL DE DEPORTES,3,BEACH VOLY,MAX PAREDES,10,2,B,MANZANEDA AGUA DE LA VIDA,176,10,,nhuanquiri,2016-07-02T22:51:04.503Z,
Feature,camposdeportivos.305,Point,-68.13058226,-16.48043796,geom,Santa Rosa tiji,Av. 23 de Enero,JUNTA VECINAL - SIN REGULACION,14,POLIFUNCIONAL,PERIFERICA,12,4,D,SANTA ROSA TIJI,206,12,,gustavo.nao,2018-09-12T19:56:07.167Z,
Feature,camposdeportivos.306,Point,-68.10418422,-16.50955769,geom,San Isidro Alto,0,LIGA DEPORTIVA - SIN REGULACION,14,POLIFUNCIONAL,SAN ANTONIO,17,3,C,SAN ISIDRO ALTO,265,17,,gustavo.nao,2018-09-12T19:55:43.580Z,
Feature,camposdeportivos.307,Point,-68.11470925,-16.51166234,geom,Cuarto Centenario,0,JUNTA VECINAL - SIN REGULACION,14,POLIFUNCIONAL,SAN ANTONIO,17,3,C,CUARTO CENTENARIO,279,17,,gustavo.nao,2018-09-12T19:51:02.023Z,
Feature,camposdeportivos.308,Point,-68.03745402,-16.52898042,geom,Rosas de Calacalani,Av. Circunvalación,JUNTA VECINAL - CON RESOLUCION,14,POLIFUNCIONAL,SUR,19,3,C,URB. ROSAS DE CALACALANI,330,19,,gustavo.nao,2018-09-12T19:50:55.763Z,
Feature,camposdeportivos.309,Point,-68.04400114,-16.54451537,geom,Virgen de Copacabana,0,JUNTA VECINAL - CON RESOLUCION,14,POLIFUNCIONAL,SUR,19,3,C,VIRGEN DE COPACABANA,331,19,,gustavo.nao,2018-09-12T19:47:35.363Z,
Feature,camposdeportivos.310,Point,-68.14433409,-16.51888812,geom,Complejo Laka Uta,Av. Kollasuyo,DIRECCION MUNICIPAL DE DEPORTES,14,POLIFUNCIONAL,COTAHUMA,5,3,C,ALTO COTAHUMA CENTRAL,59,4,,gustavo.nao,2018-09-12T19:10:53.123Z,
Feature,camposdeportivos.311,Point,-68.14413555,-16.52968154,geom,Inca Alto Llojeta,Av. Max Fernandez,NADIE,8,FUTBOL,COTAHUMA,4,3,C,INCA LLOJETA,86,4,,gustavo.nao,2018-09-12T19:10:44.187Z,
Feature,camposdeportivos.312,Point,-68.11520442,-16.50589614,geom,Gringo Jahuira,0,JUNTA VECINAL - SIN REGULACION,14,POLIFUNCIONAL,SAN ANTONIO,17,3,C,VILLA ARMONíA,284,17,,clara.revollo,2016-07-26T13:57:04.407Z,
Feature,camposdeportivos.313,Point,-68.10278637,-16.52518249,geom,Buenas Peras,Av. del Maestro,LIGA DEPORTIVA - SIN REGULACION,8,FUTBOL,SAN ANTONIO,14,3,C,CUARTO CENTENARIO,306,21,,gustavo.nao,2018-09-12T19:10:34.770Z,
Feature,camposdeportivos.314,Point,-68.14172247,-16.52572312,geom,El Guindal,C. 5 de Agosto,DIRECCION DE DEPORTES,10,FUTBOL SALA,COTAHUMA,4,3,S,PASANKERI SUR,74,4,,juan.alba,2016-06-07T02:11:06.300Z,
Feature,camposdeportivos.315,Point,-68.0137669,-16.54784362,geom,Apaña,0,LA COMUNIDAD - SIN REGULACION,8,FUTBOL,SUR,22,4,D,VALLE DE LAS ANIMAS,94,0,,gustavo.nao,2018-09-12T19:10:25.420Z,
Feature,camposdeportivos.316,Point,-68.03123849,-16.53153708,geom,Nuevo Amanecer,C. Lauca,NADIE,8,FUTBOL,SUR,19,3,C,OVEJUYO,368,19,,nhuanquiri,2016-07-02T22:26:40.270Z,
Feature,camposdeportivos.317,Point,-68.1302371,-16.53302695,geom,El Rosal Central,C. 2,GAMLP,14,POLIFUNCIONAL,COTAHUMA,4,3,C,EL ROSAL LLEJTA CENTRAL,54,4,,gustavo.nao,2018-09-12T19:09:52.947Z,
Feature,camposdeportivos.318,Point,-68.15812421,-16.50397315,geom,Barrio Lindo,0,JUNTA VECINAL - RESOLUCION MUNICIPAL,14,POLIFUNCIONAL,MAX PAREDES,7,3,C,ALTO CHIJINI,121,7,,gustavo.nao,2018-09-12T19:09:46.883Z,
Feature,camposdeportivos.319,Point,-68.15979445,-16.49465901,geom,Primera Curva,0,NADIE,14,POLIFUNCIONAL,MAX PAREDES,9,3,C,MUNAYPATA NORTE,131,9,,gustavo.nao,2018-09-12T19:09:38.870Z,
Feature,camposdeportivos.320,Point,-68.14904763,-16.45196937,geom,Caja Ferroviaria,Av. Primavera,DIRECCION DE DEPORTES,14,POLIFUNCIONAL,MAX PAREDES,10,3,C,CAJA FERROVIARIA,149,10,,juan.alba,2016-06-07T02:00:27.770Z,
Feature,camposdeportivos.321,Point,-68.15759207,-16.48426722,geom,Cancha Sur,0,JUNTA DE VECINAL - RESOLUCION MUNICIPAL,10,FUTBOL SALA,MAX PAREDES,9,3,C,ALTO MUNAYPATA BAJO AUTOPISTA,162,9,,gustavo.nao,2018-09-12T19:07:13.703Z,
Feature,camposdeportivos.322,Point,-68.12907829,-16.49289288,geom,Villa Pabón,C. Capitán Ustariz Esq. C. La Cruz,JUNTA VECINAL - SIN REGULACION,14,POLIFUNCIONAL,PERIFERICA,11,3,C,VILLA PABON,193,11,,gustavo.nao,2018-09-12T19:07:02.983Z,
Feature,camposdeportivos.323,Point,-68.12346446,-16.47326132,geom,Segunda Taca,Av. Periférica,JUNTA VECINAL - SIN REGULACION,14,POLIFUNCIONAL,PERIFERICA,12,3,C,LAS DELICIAS CENTRAL,199,12,,gustavo.nao,2018-09-12T19:06:31.313Z,
Feature,camposdeportivos.324,Point,-68.12956646,-16.47895042,geom,Cupilupaca Norte,C. Adrian Pariente,JUNTA VECINAL - SIN REGULACION,14,POLIFUNCIONAL,PERIFERICA,12,3,C,CUPILUPACA NORTE,205,12,,gustavo.nao,2018-09-12T19:03:39.253Z,
Feature,camposdeportivos.325,Point,-68.11727321,-16.47858263,geom,Complejo Deportivo Camiri,C. Camiri,JUNTA VECINAL - SIN REGULACION,10,FUTBOL SALA,PERIFERICA,11,3,C,BARRIO PETROLERO,228,13,,nhuanquiri,2016-07-02T23:03:23.850Z,
