type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/CodMacro,properties/CodDistrito,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,properties/IdTipo,properties/Nombreback
Feature,educacionprivada.104,Point,-68.12126128,-16.500938,geom,Evangélico,Av. Germán Busch,MIRAFLORES,7,,2,,clara.revollo,2016-07-01T21:39:51.860Z,,4,Colegio Evangélico
Feature,educacionprivada.105,Point,-68.12242862,-16.50493573,geom,Junín,C. Litoral,MIRAFLORES,7,,2,,clara.revollo,2016-06-13T15:46:54.590Z,,4,Colegio Junín
Feature,educacionprivada.107,Point,-68.12062549,-16.5065794,geom,Bancario,C. Victor Eduardo,MIRAFLORES,7,,2,,clara.revollo,2016-06-22T13:16:19.083Z,,4,Colegio Bancario
Feature,educacionprivada.108,Point,-68.11973294,-16.50914322,geom,Santa Teresa,Av. Saavedra,MIRAFLORES,7,,2,,clara.revollo,2016-06-22T13:16:40.497Z,,4,Colegio Santa Teresa
Feature,educacionprivada.110,Point,-68.12894666,-16.5037783,geom,Centro Boliviano Americano - Sucursal Federico Zuazo,C. Fedrico Zuazo No 1985 detras de la UMSA,CENTRAL,7,,1,,clara.revollo,2016-07-01T20:42:20.950Z,2-441508 o 2-440289,3, Boliviano Americano - Sucursal Federico Zuazo
Feature,educacionprivada.111,Point,-68.11930355,-16.51465455,geom,Amor de Dios,Av. Aniceto Arce,San Jorge,7,,1,,clara.revollo,2016-06-22T13:17:44.330Z,,4,Colegio Amor de Dios
Feature,educacionprivada.112,Point,-68.13775276,-16.49628745,geom,Fray Bernandino de Cardenas,C. Murillo,EL ROSARIO,7,,1,,clara.revollo,2016-06-13T15:48:41.550Z,,4,Colegio Fray Bernandino de Cardenas
Feature,educacionprivada.113,Point,-68.13822757,-16.49666995,geom,San Francisco,C. Murillo,EL ROSARIO,7,,1,,clara.revollo,2016-06-13T15:49:20.867Z,,4,Colegio San Francisco
Feature,educacionprivada.114,Point,-68.12249619,-16.51005457,geom,Centro Boliviano Americano - Casa Central,Av. Arce Parque Zenón Iturralde No 121,SAN JORGE,7,,1,,clara.revollo,2017-04-17T14:57:41.567Z,,3, Boliviano Americano - Casa Central
Feature,educacionprivada.115,Point,-68.13298781,-16.49757706,geom,Especialización en Computación y Estudios Comerciales S.R.L. -CEC,C. Potosí,CENTRAL,7,,1,,clara.revollo,2016-06-13T15:53:05.370Z,,3,CEC Centro de Especialización en Computación y Estudios Comerciales S.R.L.
Feature,educacionprivada.117,Point,-68.1200968,-16.50758796,geom,UMSA - Factultad de Odontologia,Av. Bautista Saavedra,CENTRAL,7,,2,,clara.revollo,2016-06-06T19:19:28.820Z,,13,Factultad de Odontologia - UMSA
Feature,educacionprivada.118,Point,-68.13053371,-16.50315041,geom,Don Bosco,Av. 16 de Julio #1885,CENTRAL,7,,1,,clara.revollo,2016-06-22T13:18:07.730Z,,4,Colegio Don Bosco
Feature,educacionprivada.119,Point,-68.13812341,-16.49037727,geom,San Jerónimo,Av. Armentia,NORTE,7,,1,,clara.revollo,2016-06-13T15:55:18.057Z,,4,Colegio San Jerónimo
Feature,educacionprivada.120,Point,-68.13483984,-16.49298675,geom,San Calixto,C. Sucre,Zona Norte,7,,1,,clara.revollo,2016-06-22T13:18:21.037Z,,4,Colegio San Calixto
Feature,educacionprivada.121,Point,-68.12316145,-16.50266718,geom,Señora de Itai,C. Misael Saracho Esq. Juan de Vargas,MIRAFLORES,7,,2,,clara.revollo,2016-06-13T15:56:32.603Z,,4,Colegio Señora de Itai
Feature,educacionprivada.122,Point,-68.12042616,-16.4967578,geom,Bolivia Noruego,C. Panamá,MIRAFLORES,7,,2,,clara.revollo,2016-06-06T20:03:31.197Z,,4,Colegio Bolivia Noruego
