type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/tipo_ofi,properties/Direccion
Feature,entidadesfinancieras.325,Point,-68.13017734,-16.50234331,geom,Banco Unión S.A.,Cajero Automático,Calle Federico Zuazo Nº1571(Instalaciones Edificio Entel)
Feature,entidadesfinancieras.326,Point,-68.13978611,-16.49119444,geom,Banco Unión S.A.,Cajero Automático,"Avenida Montes NÂº 101, esquina Calle Pando, en instalaciones de la Agencia Recaudadora de Impuestos LPZ."
Feature,entidadesfinancieras.327,Point,-68.144275,-16.49491389,geom,Banco Unión S.A.,Cajero Automático,"Avenida Buenos Aires Nº 572, zona 14 de Septiembre."
Feature,entidadesfinancieras.328,Point,-68.08736667,-16.53176667,geom,Banco Unión S.A.,Cajero Automático,"Megacenter, Av. Vera - Irpavi"
Feature,entidadesfinancieras.329,Point,-68.132237,-16.50036505,geom,Banco Unión S.A.,Cajero Automático,C. Bueno Edif. YPFB frente mercado Camacho
Feature,entidadesfinancieras.330,Point,-68.12070833,-16.48093611,geom,Banco Unión S.A.,Cajero Automático,"Avenida Miguel Casimiro Aparicio,esquina Calle Alto Beni NÂº 1510."
Feature,entidadesfinancieras.331,Point,-68.12111206,-16.49549202,geom,Banco Unión S.A.,Cajero Automático,Avenida Busch NÂº 1333
Feature,entidadesfinancieras.332,Point,-68.12110372,-16.49551425,geom,Banco Unión S.A.,Cajero Automático,Avenida Busch NÂº 1333
Feature,entidadesfinancieras.333,Point,-68.14119444,-16.48855278,geom,Banco BISA S.A.,Cajero Automático,Av. Uruguay s/n esq. Av. Perú (interior Terminal de Buses)
Feature,entidadesfinancieras.334,Point,-68.13279911,-16.50199385,geom,Banco BISA S.A.,Cajero Automático,Av. 16 de Julio Nº 1628 Paseo El Prado
Feature,entidadesfinancieras.335,Point,-68.09100947,-16.54645499,geom,Banco BISA S.A.,Cajero Automático,Av. Arequipa Nº 8450 La Florida
Feature,entidadesfinancieras.336,Point,-68.08726389,-16.53279167,geom,Banco BISA S.A.,Cajero Automático,"Megacenter, Patio de Comidas, Av. Rafael Pabon, Irpavi"
