type,id,geometry,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/ActividadEconomica,properties/MacroDistrito,properties/DistritoChar,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,agenciasviajes.109,,geom,Zafiro travel & tours,C. Mercado Edif.  Torre Centro #P2-202,CENTRAL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T18:49:49.230Z,,Point,-68.13515078,-16.49723288
Feature,agenciasviajes.110,,geom,Travel in - out,C. Illampu Esq.. Sagárnaga #867,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,6,,brenda.zuniga,2016-06-07T18:49:56.123Z,,Point,-68.13915961,-16.49809167
Feature,agenciasviajes.111,,geom,Turisbus La Paz Cuzco Tours S.R.L.,C. Illampu #704,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T16:24:17.433Z,,Point,-68.14021117,-16.49543517
Feature,agenciasviajes.112,,geom,Alberth Bolivia Tours,C. Illampu #750,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T22:34:10.680Z,,,,
Feature,agenciasviajes.113,,geom,Crillon Tours S.A.,Av. Camacho #1223,CENTRAL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T22:33:52.053Z,,Point,-68.13462279,-16.49852442
Feature,agenciasviajes.114,,geom,Andean Base Camp,Av. Mariscal Santa Cruz #938,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-07T22:41:28.830Z,,,,
Feature,agenciasviajes.115,,geom,Macro Tours,C. Rosendo Gutierrez #373,SOPOCACHI,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 3,3,,brenda.zuniga,2016-06-07T22:59:36.797Z,,,,
Feature,agenciasviajes.116,,geom,Kanoo Tours,C. Illampu #828,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T23:00:25.373Z,,,,
Feature,agenciasviajes.117,,geom,Barracuda Biking,C. Linares #971,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,21,,brenda.zuniga,2016-06-07T23:04:55.627Z,,,,
Feature,agenciasviajes.118,,geom,Travel Solutions,C. 16 de Obrajes #220 Edif.  Centro de Negocios Obrajes Piso 5 Of. 505,OBRAJES,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 21,21,,brenda.zuniga,2016-06-07T23:09:16.533Z,,,,
Feature,agenciasviajes.119,,geom,Agencia de viaje,C. Ayacucho #207 Edif.  Sociedad Inmobiliaria Piso 1 Of. 102,CENTRAL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T23:18:41.500Z,"NOMBRE DE LA EMPRESA ""VIAJES ESTELAR"", SIN EMBARGO ESTA REGISTRADO COMO AGENCIA DE VIAJES EN LA LICENCIA",Point,-68.13478264,-16.49822592
